donation_id,img_src,item,donor_id,dedi_id,inscription,lat,lon,icon,state_champ,arbor_note
56,LC_56.png,4 Permanent Benches and Garden,,Barbara Thacher '40,Barbara Auchincloss Thacher Memorial Path,40.025519,-75.312201,object,no,1298
57,LC_57.png,3 Stone Benches,,,"Dedicated to Max Weiss, one who revered knowledge, nature, history, and those who appreciate their significance",40.027356,-75.31419,object,no,1244
58,LC_58.png,Moveable Bench,Ellis Avery '93,,"So many shining leaves in the air, you can see the shape of the wind. Gift of Ellis Avery, Class of '93",40.028359,-75.315104,object,no,1290
59,LC_59.png,Moveable Bench,Class of 1960,Class of 1960 45th Reunion,,40.024853,-75.313964,object,no,1260
63,LC_63.png,Portico,,"Adelaide W. Neall, Class of 1906","This portico links The Deanery and Wyndham in tribute to <br> Adelaide W. Neall Class of 1906 <br> whose imaginative energy gave much to the life and spirit of The Deanery, first alumnae house of Bryn Mawr College",40.025539,-75.312943,object,no,
64,LC_64.png,Lanterns,BMC Alumnae/i,,The alumnae/i of Bryn Mawr College dedicate these lanterns to the glory of Bryn Mawr past and future,40.024166,-75.313455,object,no,
65,,Plaque,,Seymour Adelman,,40.027206,-75.314324,object,no,
66,LC_66.png,Garden,,Virginia E. Mertz 1937-77,,40.026462,-75.311635,object,no,1250
101,LC_101.png,Weeping Cherry (Prunus subhirtella pendula),Class of 1956,Class of 1956,,40.026524,-75.313885,tree,no,
102,,Weeping Cherry (Prunus subhirtella pendula),Class of 1957,Class of 1957,,0,0,tree,no,
103,LC_103.png,Cut-Leaf Beech (Fagus sylvatica 'Laciniata'),Class of 1958,Class of 1958,In Memory of our Classmates <br> May 1999,40.027552,-75.312567,tree,no,150
104,LC_104.png,Japanese Maple (Acer palmatum),,Alice Turner '60,,40.024705,-75.313791,tree,no,1256
105,,White Oak (Quercus alba),Class of 1960,Class of 1960,,0,0,tree,no,
106,LC_106.png,Frontier Elm (Ulmus 'Frontier'),Barbara Paul Robinson '62,Class of 1962 50th Reunion,,40.028026,-75.313241,tree,no,
107,,Weeping Hemlock (Tsuga canadensis),Class of 1966,Class of 1966,,0,0,tree,no,
108,LC_108.png,Star Magnolia (Magnolia stellata),Class of 1968,Class of 1968,,40.26948,-75.312763,tree,no,142
109,LC_109.png,White Oak (Quercus alba),Class of 1954,Elsie Kemp Schmitz '54,,40.027676,-75.315472,tree,no,391
110,LC_110.png,Japanese Snowbell (Styrax japonica),Class of 1974,Class of 1974,,40.02596,-75.31457,tree,no,
111,,Spruce (Picea),,Ernest J. Gallo,In memory of Ernest J. Gallo <br> 1999,0,0,tree,no,
112,LC_112.png,Sourwood (Oxydendrum arboreum),Susan Brock '80 and Anne Warwick '80,Anne Murney '80,Given in memory of Anne Murney '80 <br> Spring 1991,40.026219,-75.314128,tree,no,
113,,Red Oak (Quercus rubra),Class of 1917,Class of 1917,,0,0,tree,no,
114,,Pin Oak (Quercus palustris),Class of 1987,,"Gift of the Class of 1987 <br> ""AKOUE""",40.026913,-75.312779,tree,no,
115,,White Oak (Quercus alba),Class of 1960,Class of 1960,,0,0,tree,no,
116,LC_116.png,Callery Pear (Pyrus calleryane),Class of 1934,Class of 1934,"Given by Frances F. Jones, President of the Class of 1934",40.025496,-75.312488,tree,no,629
117,LC_117.png,Weeping Cherry (Prunus subhirtella pendula),Class of 1964,Class of 1964, Celebrating the 50th Reunion ,40.026641,-75.313667,tree,no,310
118,LC_118.png,Weeping Cherry (Prunus subhirtella pendula),Manning Award,Susan Kelly Barnes '76," Bryn Mawr College Board of Trustees 1996-2016 <br> in recognition of her leadership, strategic vision, and financial acumen",40.026719,-75.313615,tree,no,
119,LC_119.png,Okame Cherry (Prunus 'Okame'),Class of 1956,Class of 1956,,40.02774,-75.31311,tree,no,326
120,LC_120.png,Bigleaf Magnolia (Magnolia macrophylia),Class of 1900,Class of 1900,,40.027085,-75.312806,tree,no,1271
121,LC_121.png,Frontier Elm (Ulmus 'Frontier'),Class of 1970,Class of 1970,,40.028297,-75.313413,tree,no,93
122,LC_122.png,Frontier Elm (Ulmus 'Frontier'),,Marc Howard Ross,,40.02848,-75.313562,tree,no,94
123,LC_123.png,Frontier Elm (Ulmus 'Frontier'),,Michael Krausz,,40.028382,-75.313473,tree,no,91
124,LC_124.png,Weeping Beech (Fagus sylvatica pendula),Class of 1938,Class of 1938,,40.02801,-75.314781,tree,no,381
125,LC_125.png,Copper Beech (Fagus sylvatica atropu),Class of 1914,Class of 1914,,40.0281,-75.314948,tree,no,382
126,LC_126.png,European Beech (Fagus sylvatica),Class of 1913,,,40.02817,-75.315087,tree,yes,383
127,LC_127.png,Copper Beech (Fagus sylvatica atropu),,Bryn Mawr 100th Anniversary,,40.028031,-75.315259,tree,no,385
128,LC_128.png,Double-Flowered Higan Cherry (Prunus subhirtella var),Elizabeth Blackwell Drake,,"In Memory of Katherine Mittendorf Blackwell, 1899",40.02711,-75.313159,tree,no,316
129,LC_129.png,Dogwood (Cornus),Class of 1991,,In Memory of Ariadne Solter 1991,40.027854,-75.314562,tree,no,
130,,Cherry (Prunus),Class of 2000,,Honoring President McPherson,0,0,tree,no,
131,LC_131.png,Atlas Cedar (Cedras atlantica),Class of 1973,Class of 1973,,40.025712,-75.314701,tree,no,
132,LC_116.png,Callery Pear (Pyrus calleryane),,President Frances F. Jones '34,Given in 1994,0,0,tree,no,
133,LC_133.png,Black Gum (Nyssa sylvatica),Manning Award,,The Helen Taft Manning Award 1983 given to Ellenor Morris '27 in recognition of her outstanding service to Bryn Mawr College,40.02539,-75.313168,tree,no,635
134,LC_134.png,Red Horsechestnut (Aesculas),Class of 1921,Class of 1921,Horse Chestnut / Aesculus hippocastanum <br> The horse-chestnut in the early weeks of May is a sight for Gods and men.<br> Phillip Gilbert Hamerton,40.027342,-75.312708,tree,no,
135,,Red Maple (Acer rubrum),Class of 1972,Class of 1972,,0,0,tree,no,
136,LC_136.png,Dogwood (Cornus),Manning Award,Willie Mae Taylor,,40.025856,-75.312635,tree,no,1251
137,,Dawn Redwood (Metasequoia),,,"Commemorating The Rhoads Family, 300 years in America, 1999",0,0,tree,no,
138,LC_138.png,Giant Dogwood (Cornus contraversa),Class of 1976,Class of 1976,,40.028785,-75.313704,tree,no,87
141,LC_141.png,Scholar-Tree (Sophora japonica),,"Marianne Winter Martin, Ph.D '62",,40.027375,-75.313986,tree,no,294
142,LC_142.png,Okame Cherry (Prunus 'Okame'),Class of 2011,Bryn Mawr 125th Anniversary,,40.02761,-75.312966,tree,no,327
143,LC_143.png,Okame Cherry (Prunus 'Okame'),,Karen M. Tidmarsh '71,Dean of the College 1990-2010,40.02766,-75.313006,tree,no,326
144,LC_144.png,Weeping Cherry (Prunus subhirtella pendula),,,Donated by the McBride Scholars,40.02661,-75.313464,tree,no,311
145,LC_145.png,Weeping Cherry (Prunus subhirtella pendula),,Barbara Paul Robinson Board of Directors,,40.02646,-75.313974,tree,no,334
